Image,True Class,Noise,OCR Text,Characters,Words
0000000486.tif,advertisement,original,"LEO BURNETT COMPANY, [n6. IR_Em ETeZeaa B_7 Toce Tntt; IM Thousands of San Francisco women couldnt understand why Virginia Slims were out of stock: But youknow why: nana Yomer #Ini 6oran ""5020651 . Dit t. AE Ihui Finy Morti Caet cisnine otenulina indeprnothi Jvdie Zolvnt Lorni Bay 4ft. shackrd Fua obuntd tht lollotring ulte Chaln (aalro  ] 78 Catn orurrH Oruenteorcs {ar%0* Inatpenaeni Orur Wotte Cacnenaccouni 5 0% Lateut hyuret thotiku S4n Franaico Kld Nlehto In € lit] #ctoli (nC nation #ueett Nety 44dnol Dlorh MDTCerdu tuReitnt rupply 3tarne  m ti } V 2 Slrt 503",569,96
0000000486.tif,advertisement,gaussian_noise,"LEO BURNETT COMPANY, Irc. EA_N-*T_7 Jai _ Talitre Tns [N Lll Thousandsof San Francisco women couldnt understand why Virginia Slims were out of stock But youknow why: ZJr 5ur Women ~#Int 67rn '3265"".ert Dit 4ut Lata Iku F4nY Morts 1ld out Aier €7ly cine Jrnuina Indeornothl Jvdit Yolvnt Lorci Eay trt. theckrd Hua obutentd Iht lollowring slct Fatrct Chuin lood nlorat 37* J.07 Catn GrurrHbred Oryy Itot0i 5 Jnatperaeni Orue Wotre Mnetccouni 5 0x Litaut hajeet thowika 5n Freneaco Kld Nalehto In c itt Icrou [nC nution '#ueetti #ely MDATCert tuReitnt rpply 7&e Reaulu ind Menthe } V 62 Sumt 83 92",594,102
0000000486.tif,advertisement,salt_pepper,"LEO.BURNETT Thousandsof San Fancisco women:"" couldnt understandwhy Virginia Slims Were out of stock Butyou why: owf"" 54o {untt Yoter Iot Vithn"" 7372 ~nait eli;R"" [yinitShz 72 Filer C7l aint Jnnwind 7ar8it, Rolyn 2 Jha to Irainit Jbli-nto Int ottint Higi tre Eac[onn slaic ItdtroenltDo2 Ckn Z5 j3r0 FR; natbenatn: drss33g 4,87 Acner Xccounl $0%, Whd &n Fringice {2fkero"" 3aua 1 aulhelort 8 know 474lcnto",402,64
0000000486.tif,advertisement,gaussian_blur,Do QUAAETT COlipa. Thousands of San Francisco women couldnt understand why Virginia Slims were out of stock But know whx F Youe,127,22
0000000486.tif,advertisement,motion_blur,,0,0
0000000486.tif,advertisement,rotation_5,"BURNETT Covpanr:[ _ Ten Iu LBO 410m _Tett Mim-t^ Thousands of San Francisco understand why Slims were out of Virginia But youknow why: our 54n 6r JE5 Ae{ T (an In TJch 5l75 Jtenwini 23 EDIm Jjdin 9t o B4tt. Keratett Cian [ood 4ot 37% atoencenltors TE Chiln Orlr 46% Lotdtdotiioriano"" Dend Reonne 5 0% Fuancixo ula Liic hyato ten 6aaron ine nabon "" 73 9c 2 23 F  uc Rcul women couldnt = stock eer otn all 7E; A Late Matoundtni 7 ent end-ntd nata Kchtd Dafun Tnnt",461,89
0000000486.tif,advertisement,rotation_10,"L Aant of SanFrancisco why of Sirginia Slms  know why: But 663 0= 2 Smt 36= Snror Aotndtn Edan Inedut Jtolt RE aua 0 Uo uon Inaan Latt 6yut Eettn Epely ao 13 5AZ covptst: Mrt BURRETT {Telit LEO Dten 43-7 women Thousands = understand ~ stock couldnt = out were You_ Zana- [odntc en en M2 ettl Co7t= #5 Rnnn 0 en { 6ndte"" 'elrnto  173 Toleat J07 Tin eed  0 [8r0r 3r44 Io0s 1* C7 * 04y9 Matdrnott Ke^h let L Aetaakucd RS Jot Wcton Lta Rnalchte Otatet Sca",451,91
0000000486.tif,advertisement,brightness,"LEO BURNETT COMPANY, [nc. Ee_F BW_7 Talttt Tn In Thousands of San Francisco women couldnt understand why Virginia Slims were out of stock But youknow why: OOUc[olt Ene womer #tni 66A Dit Wty. Ji Ihu Morth Voinis Caer citnine itenatina Indeotnothl vdiee Yolvnt Lorci Bav 4ftt. shoced Ma obtantd tht lollowing slet Fre AnaLn ionc HOr 85j5"" Oruer} ocs R8rh0* Inatperaeni Orub Wotte cnteaccounl 5 072 Lateut hsurct tnowIkul Sun Frunauco #lat Dren} Zutehto In € ict #Cros Ing nlion Vitnit #ueeth Rety 440 tuf Reitnt rupply Cbel Lncetaentad } 25 0er Meoa Yt",551,94
0000000486.tif,advertisement,contrast,"LEO BURNETT COMPANY, Inc. Bv_7 Tauttt 1nx In Thousands of San Francisco women couldnt understand why Virginia Slims were out of stock: But youknow why: Tuntk? Douc[d'~ Yomer TorYdinu Sit Moeti Caer CiisQic #IN Lien tina ndicinothl 77g7 ~Divit Liorti_ Bar 4t0 . sheced Nic a34intc the lollowing slee Matrc Chaln (ocnHon Cardtoruerh D0s 7er10* Drue atatci natoereeri Orue tot ACntr Accouni Ldlhuit Inot IFufn Frurssco Klat Nlehtc cuiti #Crole nlion Iratnte iueett Rety /40 tuheitat rupply 0 bou5 Rerulu ind Menthol L V09n' Jjig 4""n Cecht M",537,88
0000001653.tif,advertisement,original,IMAGE NOT AVAILABLE ONLINE The material referenced in the associated index listing is available in the Minnesota Tobacco Document Depository: Please see this website's home page for additional information regarding the Depository.,230,32
